"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","経度","緯度","分類"
"100217","302015","和歌山5-28","地価公示","商業","和歌山市","六十谷字宮ノ前２２６番２","","135.204405","34.2615825","","","","","","","","","","","","","","","","","","","","","","","",""," 82,500 ","135.204404999983","34.2615825000125","H29地価公示標準地"
"100218","302015","和歌山9-4","地価公示","工業","和歌山市","直川字中川田１８５番１外","","135.216572","34.2581864","","","","","","","","","","","","","","","","","","","","","","","",""," 34,800 ","135.216572000491","34.2581863999469","H29地価公示標準地"
"100123","302066","【旧】田辺-5(平成22年廃止)","地価公示(廃止地点)","住宅","田辺市","むつみ４５１番２４","むつみ５－６","135.3799069","33.74237551","","","","","","80,000 ","79,000 ","75,800 ","72,800 ","70,000 ","67,000 ","64,000 ","61,000 ","59,200 ","57,400 ","55,700 ","53,800 ","","","","","","","","","135.379906900198","33.7423755100241","地価公示標準地(廃止地点)"
"100135","302082","【旧】紀の川-4(平成22年廃止)","地価公示(廃止地点)","住宅","紀の川市","荒見字下川原６０４番８１","","135.4140697","34.26174015","","","","","","","","","","","","","","","","32,200 ","30,600 ","","","","","","","","","135.414069699532","34.2617401499947","地価公示標準地(廃止地点)"
"100002","302015","【旧】和歌山-2(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","園部字窪里１０４１番２","","135.192738","34.26027641","","","132,000 ","130,000 ","129,000 ","126,000 ","115,000 ","103,000 ","95,500 ","88,200 ","80,800 ","74,000 ","68,000 ","63,900 ","62,600 ","61,900 ","60,000 ","58,000 ","","","","","","","","135.19273799968","34.2602764099896","地価公示標準地(廃止地点)"
"100009","302015","【旧】和歌山-9(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","栄谷字垣之上２５７番９","","135.1555544","34.25842767","","","","","137,000 ","134,000 ","121,000 ","109,000 ","100,000 ","93,000 ","87,400 ","79,500 ","72,100 ","68,500 ","65,500 ","64,300 ","62,900 ","60,200 ","","","","","","","","135.15555440047","34.2584276699647","地価公示標準地(廃止地点)"
"100010","302015","【旧】和歌山-10(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","六十谷字楠手１９５番３９","","135.2029403","34.26035669","","","","","","","","","","","","","76,000 ","71,000 ","69,600 ","68,900 ","67,500 ","64,900 ","","","","","","","","135.202940300323","34.2603566899846","地価公示標準地(廃止地点)"
"100012","302015","【旧】和歌山-12(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","園部字上前田１５３１番１８外","","135.1967596","34.26632701","127,000 ","123,000 ","123,000 ","120,000 ","118,000 ","115,000 ","105,000 ","95,000 ","87,500 ","80,700 ","73,500 ","67,000 ","61,600 ","58,000 ","55,800 ","54,800 ","53,500 ","51,200 ","","","","","","","","135.196759600012","34.2663270099563","地価公示標準地(廃止地点)"
"100016","302015","【旧】和歌山-16(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","土入字堤添２９１番２６","","135.1393546","34.25085117","135,000 ","138,000 ","141,000 ","140,000 ","139,000 ","137,000 ","125,000 ","114,000 ","105,000 ","98,000 ","91,300 ","84,700 ","78,200 ","74,700 ","72,100 ","71,300 ","69,800 ","67,600 ","","","","","","","","135.139354599552","34.2508511699791","地価公示標準地(廃止地点)"
"100018","302015","【旧】和歌山-18(平成23年廃止)","地価公示(廃止地点)","住宅","和歌山市","杭ノ瀬字北崎２５５番３４","","135.189689","34.21002731","146,000 ","146,000 ","146,000 ","145,000 ","143,000 ","140,000 ","133,000 ","126,000 ","121,000 ","114,000 ","107,000 ","100,000 ","93,500 ","88,500 ","84,000 ","81,800 ","78,700 ","74,900 ","","","","","","","","135.189688999994","34.2100273100355","地価公示標準地(廃止地点)"
